timestamp,open,high,low,close,volume
1483228800000,1.05148,1.05288,1.05148,1.0523,352.85
1483315200000,1.0523,1.0526,1.04501,1.04575,87951
1483401600000,1.04575,1.04901,1.03403,1.04174,218296.0469
1483488000000,1.04174,1.05013,1.039,1.04971,228092.4844
1483574400000,1.04968,1.06153,1.04826,1.06039,273330.2813
1483660800000,1.06039,1.06221,1.0525,1.0529,226026.6563
1483747200000,1.0529,1.0529,1.0529,1.0529,0
1483833600000,1.053,1.05358,1.0526,1.05294,5515.1001
1483920000000,1.05294,1.0589,1.05109,1.05858,219645.7344
1484006400000,1.05858,1.06272,1.05509,1.05522,227707.0156
1484092800000,1.05522,1.06229,1.04538,1.05941,287661.5938
1484179200000,1.05942,1.06847,1.05714,1.06162,283076.2813
1484265600000,1.06158,1.06734,1.05961,1.0642,226614.875
1484352000000,1.0642,1.0642,1.0642,1.0642,0
1484438400000,1.06039,1.06358,1.0603,1.06272,7140.4399
1484524800000,1.06274,1.06344,1.05793,1.06022,172454.8906
1484611200000,1.06022,1.07191,1.06007,1.06966,285585.5938
1484697600000,1.06966,1.07123,1.06244,1.0628,241426.3125
1484784000000,1.06282,1.06766,1.05892,1.06591,276319.2188
1484870400000,1.06593,1.07094,1.06251,1.0699,226792.1875
1484956800000,1.0699,1.0699,1.0699,1.0699,0
1485043200000,1.07027,1.07168,1.06941,1.07126,7218.8101
1485129600000,1.07124,1.07729,1.07063,1.07591,216128.9844
1485216000000,1.07589,1.07749,1.07204,1.07281,191667.0625
1485302400000,1.07282,1.07698,1.07112,1.07525,234112.0781
1485388800000,1.07527,1.07655,1.06576,1.06834,243428.7656
1485475200000,1.06834,1.0725,1.06584,1.06958,210667.5625
1485561600000,1.06958,1.06958,1.06958,1.06958,0
1485648000000,1.07213,1.07214,1.0708,1.07169,6970.9702
1485734400000,1.07169,1.07402,1.06203,1.07075,213100.9844
1485820800000,1.07075,1.08122,1.06846,1.08008,282938.375
1485907200000,1.08008,1.08073,1.0731,1.07653,244016.9531
1485993600000,1.07654,1.08288,1.0756,1.07617,243318.5625
1486080000000,1.07618,1.07975,1.07115,1.07818,228892.2031
1486166400000,1.07818,1.07818,1.07818,1.07818,0
1486252800000,1.07896,1.07915,1.0778,1.07824,4076.27
1486339200000,1.07824,1.07887,1.07059,1.0743,221177.5938
1486425600000,1.0743,1.07444,1.06561,1.06788,233002.3438
1486512000000,1.06788,1.07139,1.06407,1.06913,239400
1486598400000,1.0691,1.07095,1.06509,1.06572,232668.2656
1486684800000,1.06571,1.06677,1.06077,1.06397,238342.0156
1486771200000,1.06397,1.06397,1.06397,1.06397,0
1486857600000,1.06285,1.0637,1.06174,1.06187,5510.5098
1486944000000,1.06186,1.06585,1.0592,1.05987,198618.6719
1487030400000,1.05986,1.06333,1.05608,1.05782,220040.6406
1487116800000,1.05783,1.06092,1.05214,1.0603,239541.8438
1487203200000,1.0603,1.06794,1.05998,1.06712,245245.1094
1487289600000,1.06709,1.06767,1.06054,1.06114,205934.25
1487376000000,1.06114,1.06114,1.06114,1.06114,0
1487462400000,1.06075,1.06329,1.06075,1.06251,7770.8501
1487548800000,1.0625,1.06299,1.06031,1.06088,141470.8125
